slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
solana,SOL,Solana,11/30/2022,5,32.6076097204,38.5496204527,11.0106517439,14.1154452841,38530392927.16,5127151961.43,0.11274182316086047,27.5389687088
solana,SOL,Solana,10/31/2022,5,33.2156900314,34.4572826854,26.9864039867,32.6110391347,24020285899.86,11700034113.38,0.7528746449836932,7.470878698700002
solana,SOL,Solana,09/30/2022,5,31.4750823681,38.8703854582,30.1950676432,33.212444532,27370651253.79,11787522154.36,0.3478116828853029,8.675317814999996
solana,SOL,Solana,08/31/2022,5,42.4015541015,48.1842845917,30.1191622109,31.4729564045,34702219749.36,11000112739.2,0.07493966357176969,18.0651223808
solana,SOL,Solana,07/31/2022,5,33.6456523142,47.0993821633,31.9340668919,42.4002039961,43641808085.34,14677221207.36,0.690136467122309,15.1653152714
solana,SOL,Solana,06/30/2022,5,45.7651294044,45.9466585686,26.0603203441,33.5884180102,47456191624.79,11517442144.91,0.37855625209197,19.8863382245
solana,SOL,Solana,05/31/2022,5,85.0946901031,95.0328188061,38.0500916745,45.7678419404,59438120662.43,15539526232.56,0.13544017028311173,56.982727131599994
solana,SOL,Solana,04/30/2022,5,122.7361038522,143.0200200113,82.909542218,85.0959330339,54892178112.39,28422718817.87,0.03637287368465562,60.11047779330001
solana,SOL,Solana,03/31/2022,5,99.5404631819,128.9301081194,78.0043859564,122.6614635138,70610214699.92,39896242151.66,0.8769061224986523,50.92572216299999
solana,SOL,Solana,02/28/2022,5,99.7259416695,121.5540308412,76.8595736251,99.5203486662,66218090004.33,31852723642.32,0.507015331488063,44.694457216100005
solana,SOL,Solana,01/31/2022,5,170.3108385232,179.4323508491,81.2260507578,99.7388354995,64340292337.05,31427675610.77,0.18850913561033372,98.20630009130001
solana,SOL,Solana,12/31/2021,5,208.393162369,243.1116631924,148.5718217256,170.2990674147,77988400808.6,52704777818.62,0.22982105059621954,94.5398414668
solana,SOL,Solana,11/30/2021,5,202.6292116026,260.0621175974,182.3724543588,208.670985334,88928013589.35,63474034537.89,0.3385074652007707,77.68966323859999
solana,SOL,Solana,10/31/2021,5,141.3829162862,218.7318834509,137.8115658786,202.4210134083,95049599340.86,61003141449.57,0.7984329457428699,80.92031757230001
solana,SOL,Solana,09/30/2021,5,107.4444793,214.95718552,106.27081737,141.06904455,158253964986.57,41975552359.31,0.32017103683117226,108.68636814999999
solana,SOL,Solana,08/31/2021,5,36.67912471,130.0146119,32.40266204,108.48376884,56378800972.62,31578154528.76,0.7794241064656464,97.61194986000001
solana,SOL,Solana,07/31/2021,5,35.50565339,38.01170251,22.17754202,36.82731292,13112533224.19,10040503857.97,0.9252003545910755,15.834160489999999
solana,SOL,Solana,06/30/2021,5,32.7708869,44.10055822,20.38044415,35.55640607,21093645184.28,9694007086.14,0.6397929569484571,23.720114070000005
solana,SOL,Solana,05/31/2021,5,42.8933369,58.30292665,19.13983901,32.81624582,31090298931.51,8946936842.81,0.3492167659434321,39.16308764
solana,SOL,Solana,04/30/2021,5,19.41568124,48.43426663,18.568419,42.95600088,19636381496.99,11604419645.43,0.8165708933538812,29.865847630000005
solana,SOL,Solana,03/31/2021,5,13.10843535,20.86947517,11.90122772,19.46522941,4765318578.85,5220539301.49,0.8434202704788212,8.968247450000002
solana,SOL,Solana,02/28/2021,5,4.26125135,18.14662172,4.11825506,13.08924694,4848510926.38,3428075566.66,0.6394894072436512,14.02836666
solana,SOL,Solana,01/31/2021,5,1.50977505,4.78701008,1.50203819,4.26414404,3059756505.48,1116779908.67,0.8408308936853641,3.28497189
solana,SOL,Solana,12/31/2020,5,1.96832128,2.22130954,1.09016138,1.51089796,370955130.13,70362439.7,0.37195532369517365,1.13114816
solana,SOL,Solana,11/30/2020,5,1.54069959,2.49882755,1.28186754,1.96689116,488252349.28,90995987.15,0.5628973954534464,1.2169600100000002
solana,SOL,Solana,10/31/2020,5,2.89816187,2.98583389,1.34221311,1.54069959,328629398.34,70546511.17,0.12076172461143983,1.6436207799999998
solana,SOL,Solana,09/30/2020,5,4.46378246,4.8894583,2.26622116,2.89787636,573188141.46,117178459.58,0.24079226020717287,2.62323714
solana,SOL,Solana,08/31/2020,5,3.0925,4.57526824,0.03582967,4.46330325,352996207.93,144794887.65,0.9753350577888755,4.53943857
solana,SOL,Solana,07/31/2020,5,0.8633639638,2.0956222621,0.642635456,1.5381776554,4822046.27,26526190.85,0.6163457201677889,1.4529868061
solana,SOL,Solana,06/30/2020,5,0.5734723598,1.0291762972,0.5472869934,0.860093981,3887548.37,14835525.13,0.6491262311350767,0.48188930380000006
solana,SOL,Solana,05/31/2020,5,0.691045421,0.7489807989,0.5051936368,0.5700220201,1892967.09,0.0,0.2659220557045077,0.24378716210000007
solana,SOL,Solana,04/30/2020,5,0.8320050115,1.3134865957,0.5085489999,0.691045421,5016891.64,0.0,0.22672120429239367,0.8049375957999999
