timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2021-01-01T00:00:00.000Z";"2021-01-31T23:59:59.999Z";"2021-01-25T00:52:17.000Z";"2021-01-02T01:16:17.000Z";"2781";737.70837778;1467.78494205;718.10951748;1314.9862286;2224801390350.97;150543956657.31;"2021-01-31T23:59:59.999Z"
"2020-12-01T00:00:00.000Z";"2020-12-31T23:59:59.999Z";"2020-12-30T21:20:35.000Z";"2020-12-09T08:39:15.000Z";"2781";615.07032475;754.30323417;532.99842827;737.80339769;470673397124.97;84156810764.81;"2020-12-31T23:59:59.999Z"
"2020-11-01T00:00:00.000Z";"2020-11-30T23:59:59.999Z";"2020-11-24T08:55:17.000Z";"2020-11-03T04:35:15.000Z";"2781";386.5903379;621.17342049;371.31273818;614.84252202;507753255879.57;69873714778.48;"2020-11-30T23:59:59.999Z"
"2020-10-01T00:00:00.000Z";"2020-10-31T23:59:59.999Z";"2020-10-22T22:23:34.000Z";"2020-10-07T01:43:35.000Z";"2781";360.30915387;420.14165637;334.54556532;386.59033529;416749195872.54;43776829150.38;"2020-10-31T23:59:59.999Z"
"2020-09-01T00:00:00.000Z";"2020-09-30T23:59:59.999Z";"2020-09-01T15:56:54.000Z";"2020-09-24T00:06:33.000Z";"2781";402.09906231;485.0971835;318.54509133;359.93787376;640898985263.06;40606130497.97;"2020-09-30T23:59:59.999Z"
"2020-08-01T00:00:00.000Z";"2020-08-31T23:59:59.999Z";"2020-08-17T17:57:05.000Z";"2020-08-29T10:56:44.000Z";"2781";378.91148021;440.85968012;3.29814466;402.64420779;282173425938.07;45260169371.57;"2020-08-31T23:59:59.999Z"
"2020-07-01T00:00:00.000Z";"2020-07-31T23:59:59.999Z";"2020-07-31T21:46:00.000Z";"2020-07-05T21:22:16.000Z";"2781";226.134585409;348.611372268;224.544490381;345.554649307;12030600491.53;38699278448.66;"2020-07-31T23:59:59.999Z"
"2020-06-01T00:00:00.000Z";"2020-06-30T23:59:59.999Z";"2020-06-02T11:37:00.000Z";"2020-06-28T04:56:01.000Z";"2781";230.860252561;252.222002825;219.472677862;226.314997358;6094093001.39;25249913730.18;"2020-06-30T23:59:59.999Z"
"2020-05-01T00:00:00.000Z";"2020-05-31T23:59:59.999Z";"2020-05-31T01:11:00.000Z";"2020-05-11T18:24:01.000Z";"2781";207.901731105;244.045261307;180.718334193;230.975700856;12234904813.34;25675542328.54;"2020-05-31T23:59:59.999Z"
"2020-04-01T00:00:00.000Z";"2020-04-30T23:59:59.999Z";"2020-04-30T06:21:01.000Z";"2020-04-01T16:57:02.000Z";"2781";133.612324512;227.529689912;129.730944345;207.602055895;28089191904;22989647064.8;"2020-04-30T23:59:59.999Z"
"2020-03-01T00:00:00.000Z";"2020-03-31T23:59:59.999Z";"2020-03-07T16:41:00.000Z";"2020-03-13T02:35:01.000Z";"2781";219.752677765;249.978491516;95.1843005183;133.593565057;11065246316.98;14739376437.83;"2020-03-31T23:59:59.999Z"
"2020-02-01T00:00:00.000Z";"2020-02-29T23:59:59.999Z";"2020-02-15T00:39:02.000Z";"2020-02-01T00:04:01.000Z";"2781";180.113770906;287.123696828;179.745185298;219.84851255;18181296376.35;24162913195.45;"2020-02-29T23:59:59.999Z"
