Date,Open,High,Low,Close,Volume
11-06-2016,13.90909958,14.19159985,13.72029972,14.19159985,12176500
12-06-2016,14.18640041,15.89999962,14.18640041,15.74370003,38210300
13-06-2016,15.77229977,17.64419937,15.71959972,17.60269928,38023400
14-06-2016,17.6128006,19.27350044,17.29859924,18.89319992,64412200
15-06-2016,18.90530014,18.90530014,17.70949936,18.35429955,19393400
16-06-2016,18.3628006,20.82970047,18.3628006,20.58860016,38531000
17-06-2016,20.65089989,21.52269936,13.56760025,15.37679958,199408000
18-06-2016,15.37860012,15.37860012,9.963640213,11.33069992,133937000
19-06-2016,11.16730022,13.1821003,10.63560009,12.23419952,69783600
20-06-2016,12.23690033,12.44830036,10.52470016,11.83950043,58143600
21-06-2016,11.81980038,13.42039967,11.29179955,13.30669975,69245600
22-06-2016,13.19970036,15.78559971,13.0951004,13.0951004,96994096
23-06-2016,13.21560001,13.79109955,12.56400013,13.67619991,30806400
24-06-2016,13.6821003,14.56729984,13.21940041,14.33209991,33332900
25-06-2016,14.30280018,14.58189964,14.0170002,14.28299999,15383100
26-06-2016,14.26109982,14.37390041,13.65649986,13.8501997,14747600
27-06-2016,13.80819988,14.12110043,13.7493,13.88389969,10994700
28-06-2016,13.92759991,13.98149967,11.71800041,12.17560005,43436600
29-06-2016,12.17420006,13.03800011,11.68540001,12.61120033,26982800
30-06-2016,12.60289955,12.74190044,12.25360012,12.46150017,15801300
01-07-2016,12.43809986,12.49129963,11.73349953,12.19950008,17236500
02-07-2016,12.2159996,12.22089958,11.95020008,12.12839985,8987070
03-07-2016,12.12080002,12.14519978,11.58909988,11.72019959,10588700
04-07-2016,11.69610024,11.88020039,11.38949966,11.47099972,12943500
05-07-2016,11.45740032,11.51780033,9.576259613,10.61139965,45526900
06-07-2016,10.57579994,11.10560036,10.28079987,10.52890015,18137300
07-07-2016,10.53590012,10.56579971,9.803210259,10.1093998,15407200
08-07-2016,10.11530018,11.5248003,9.961259842,11.39459991,20039800
09-07-2016,11.41769981,11.45670033,10.72949982,10.96549988,17254800
10-07-2016,10.96039963,11.01369953,10.78219986,10.94760036,5479240
11-07-2016,10.94110012,11.00930023,10.26019955,10.45899963,13098000
12-07-2016,10.44699955,10.76200008,10.42580032,10.51609993,11127700
13-07-2016,10.50660038,10.58950043,10.40390015,10.50049973,6715660
14-07-2016,10.59689999,11.68190002,10.59689999,11.51319981,23621900
15-07-2016,11.49909973,12.43130016,11.48999977,11.95160007,26838900
16-07-2016,11.91940022,11.93589973,11.5923996,11.65279961,10445700
17-07-2016,11.62349987,11.67029953,11.00739956,11.15869999,17921600
18-07-2016,11.17300034,11.61009979,10.94830036,11.03439999,15931900
19-07-2016,11.04660034,12.0138998,11.01029968,11.61909962,21730000
20-07-2016,11.59020042,12.99139977,11.56690025,12.45059967,60226100
21-07-2016,12.46010017,12.71030045,11.99370003,12.65069962,24636900
22-07-2016,12.65750027,14.81340027,12.53989983,14.66189957,74779504
23-07-2016,14.66549969,14.89890003,14.04969978,14.29969978,32489700
24-07-2016,14.29580021,14.43739986,12.31610012,12.74950027,77750800
25-07-2016,12.74339962,13.85700035,12.68379974,13.83609962,36673800
26-07-2016,13.81610012,13.85109997,11.72719955,11.98950005,94428800
27-07-2016,12.05049992,13.31190014,11.83570004,12.97280025,58278800
28-07-2016,12.97910023,12.98820019,12.49269962,12.84360027,24603900
29-07-2016,12.83640003,12.87059975,12.55420017,12.79459953,14082300
30-07-2016,12.79740047,12.80130005,12.46100044,12.46100044,9047810
31-07-2016,12.43970013,12.50979996,11.5472002,11.87590027,25441400
01-08-2016,11.89480019,12.01369953,10.94159985,10.94159985,23999500
02-08-2016,10.94849968,11.13720036,8.200980187,8.787280083,88803296
03-08-2016,8.876799583,10.41800022,8.876799583,10.29389954,53979400
04-08-2016,10.31099987,11.29119968,10.15639973,11.04279995,38151400
05-08-2016,11.01900005,11.17640018,10.76319981,10.92539978,15487900
06-08-2016,10.91670036,10.93760014,10.28579998,10.8810997,16712600
07-08-2016,10.85919952,11.08959961,10.77999973,10.91160011,16551000
08-08-2016,10.91349983,11.3288002,10.85900021,11.24540043,14956700
09-08-2016,11.27460003,12.45460033,11.19999981,12.24429989,36656600
10-08-2016,12.22980022,12.45779991,11.98250008,12.14319992,28096300
11-08-2016,12.13819981,12.2723999,11.63379955,11.69089985,17505000
12-08-2016,11.68889999,12.04160023,11.63510036,11.7784996,13690100
13-08-2016,11.77040005,11.79109955,11.51179981,11.57129955,7539490
14-08-2016,11.58329964,11.69460011,11.09910011,11.19480038,8680160
15-08-2016,11.20170021,11.3107996,11.00010014,11.2184,7500840
16-08-2016,11.22869968,11.23729992,11.00279999,11.13969994,7051510
17-08-2016,11.13319969,11.15480042,10.74860001,10.75279999,8833760
18-08-2016,10.74750042,11.00909996,10.74479961,10.7560997,6935800
19-08-2016,10.74629974,10.80109978,10.72789955,10.74870014,5390850
20-08-2016,10.75010014,11.30070019,10.74909973,11.24740028,7443540
21-08-2016,11.25329971,11.25380039,10.9939003,11.17920017,4355660
22-08-2016,11.1850996,11.34080029,11.07499981,11.12090015,6588920
23-08-2016,11.13700008,11.22999954,10.89799976,11.03059959,6489380
24-08-2016,11.02429962,11.15460014,11.00949955,11.03600025,4423420
25-08-2016,11.03129959,11.38510036,11.01679993,11.35739994,8552380
26-08-2016,11.35239983,11.44540024,11.2112999,11.29539967,5857850
27-08-2016,11.29399967,11.29399967,11.13949966,11.14820004,15108400
28-08-2016,11.14700031,11.14700031,10.92000008,10.92930031,5303040
29-08-2016,10.9151001,11.14620018,10.78979969,10.98379993,8130540
30-08-2016,10.99209976,11.30360031,10.95880032,11.22889996,7221260
31-08-2016,11.23859978,11.68019962,11.18389988,11.67240047,11073700
01-09-2016,11.6704998,12.58150005,11.64850044,11.99489975,24051500
02-09-2016,11.96420002,12.31330013,11.88239956,12.11299992,9368300
03-09-2016,12.11289978,12.36359978,11.34720039,11.75870037,13358800
04-09-2016,11.75409985,11.79360008,11.47389984,11.67990017,7220550
05-09-2016,11.68050003,11.80659962,11.59399986,11.71700001,5724100
06-09-2016,11.72539997,11.72840023,11.47280025,11.68910027,6346330
07-09-2016,11.69449997,11.72630024,11.51500034,11.5479002,6115050
